#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment
scaffold775|size26089|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold776|size26047|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold779|size25955|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold780|size25949|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold778|size25956|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold781|size25907|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold782|size25903|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold785|size25783|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold783|size25900|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold784|size25854|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold786|size25752|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold787|size25653|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold788|size25604|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold789|size25560|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold790|size25559|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold777|size25984|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold791|size25225|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold792|size25124|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold795|size25033|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold793|size25080|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold794|size25045|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold796|size25018|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold797|size24980|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold798|size24970|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold799|size24897|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold800|size24777|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold801|size24755|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold802|size24645|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold803|size24525|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold804|size24495|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold805|size24400|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold806|size24370|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold807|size24352|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold808|size24315|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold809|size24253|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold811|size24078|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold810|size24098|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold812|size24045|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold813|size24006|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold814|size23993|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold815|size23941|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold816|size23887|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold817|size23820|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold818|size23565|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold819|size23493|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold820|size23490|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold821|size23465|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold822|size23440|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold823|size23317|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold824|size23286|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold825|size23069|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold826|size23033|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold827|size22959|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold828|size22933|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold829|size22803|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold831|size22672|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold833|size22553|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold834|size22527|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold835|size22516|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold836|size22476|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold837|size22406|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold838|size22404|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold839|size22366|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold840|size22314|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold841|size22289|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold842|size22267|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold843|size22228|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold844|size22090|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold845|size21993|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold832|size22600|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold846|size21991|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold847|size21759|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold848|size21736|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold849|size21692|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold850|size21625|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold851|size21616|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold852|size21588|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold854|size21509|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold853|size21564|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold855|size21417|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold856|size21298|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold857|size21232|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold860|size21142|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold861|size21140|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold858|size21145|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold862|size21080|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold864|size21011|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold863|size21038|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold865|size20899|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold866|size20797|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold867|size20780|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold868|size20744|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold869|size20626|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold870|size20429|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold859|size21144|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold871|size20219|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold872|size20208|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold873|size19978|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold874|size19959|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold875|size19647|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold876|size19466|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold877|size19057|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold878|size18534|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold879|size17900|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold880|size17414|pilon|pilon|pilon	-	-	-	-	KEEP
#junk_contigs
